mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_depth,param_classifier__criterion,param_classifier__class_weight,param_classifier__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.57549147605896,0.05242509620244661,0.097285795211792,0.019407015441089324,2,5,16,gini,balanced,0.0001,"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 5, 'classifier__max_depth': 16, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0001}",0.8727873305943685,0.8710297055072381,0.8724050437151313,0.8760487475757059,0.8743319567746237,0.8733205568334135,0.0017225822974710136,1
3.1273051261901856,0.02942030897155938,0.13120837211608888,0.033573229379174736,40,2,24,gini,,0.0001,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 24, 'classifier__criterion': 'gini', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0001}",0.8743036259730784,0.8700856706309904,0.8682158431550959,0.874605467627232,0.8741971493407692,0.8722815513454332,0.0026271948372874406,2
2.4733795642852785,0.09977972375625405,0.2175137519836426,0.10787293204157317,10,20,16,log_loss,balanced,0.0001,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0001}",0.8686610609818579,0.8684608579529783,0.867158674720156,0.8704841614509662,0.8696121393868972,0.868875378898571,0.001122125691533419,3
3.0366280555725096,0.10283017231397992,0.10609688758850097,0.025448090600154794,40,20,24,entropy,balanced,0.0001,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 24, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0001}",0.8686808908357919,0.8653979111764609,0.8660960124626144,0.8661898834923625,0.8661894590753586,0.8665108314085176,0.0011248210399977308,4
2.1370154857635497,0.04809057353933277,0.10416936874389648,0.018727310926938932,40,20,16,log_loss,,0.0,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 20, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0}",0.8655546583865639,0.8618143567421863,0.8621537508655666,0.8641556123322036,0.8632407218059743,0.8633838200264989,0.0013641821572556866,5
3.3854326725006105,0.19687539876873195,0.05780782699584961,0.00409017065504849,20,1,24,log_loss,,0.0001,"{'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 24, 'classifier__criterion': 'log_loss', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0001}",0.8641917258885704,0.8594418002923443,0.8596719197217423,0.8633668177746648,0.8589889275158122,0.861132238238627,0.002188044874245358,6
1.0378387928009034,0.11386150334261691,0.17964701652526854,0.2273966563521831,5,2,8,entropy,balanced,0.0001,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 8, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0001}",0.8572712998882323,0.8553226596474389,0.8572427881033908,0.8558099296919369,0.8593483067607183,0.8569989968183436,0.0014054769510407482,7
0.9656377315521241,0.037051313564856414,0.06340999603271484,0.009943814146443587,40,10,8,entropy,balanced,0.0,"{'classifier__min_samples_split': 40, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 8, 'classifier__criterion': 'entropy', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.0}",0.8571783273413975,0.8560248758247082,0.8543876986750237,0.8563347763087843,0.8598796346570545,0.8567610625613936,0.0018031166811954553,8
2.4880503177642823,0.07911889112346,0.10854849815368653,0.017660062541693694,5,10,16,log_loss,,0.0,"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': None, 'classifier__ccp_alpha': 0.0}",0.8556912041099091,0.8542167560284043,0.8590095474145195,0.8593496497720255,0.8540846523763496,0.8564703619402415,0.002285397030921565,9
2.6268297672271728,0.12977452836998427,0.10021920204162597,0.02289775325642896,10,10,16,log_loss,balanced,0.001,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 16, 'classifier__criterion': 'log_loss', 'classifier__class_weight': 'balanced', 'classifier__ccp_alpha': 0.001}",0.8583833673619289,0.8532222521793279,0.8527867447312696,0.8575853350189634,0.859577717482999,0.8563110833548979,0.002776718120415419,10
