mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20.263617181777953,1.3785346916489045,0.38297333717346194,0.06567985209470684,0.5,balanced,liblinear,"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__solver': 'liblinear'}",0.8398257896502627,0.8399285291400798,0.8368590207923815,0.8398642575504035,0.8411127410977868,0.8395180676461829,0.001413968352369494,1
8.80483865737915,0.9224913578737975,0.3508121490478516,0.020296238023216253,0.5,balanced,lbfgs,"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__solver': 'lbfgs'}",0.8398404336306499,0.8398310656010173,0.836834883998,0.8398406611320156,0.8410693968078372,0.8394832882339041,0.0014075512583814802,2
25.754106855392457,2.4470120406121727,0.43800840377807615,0.19449762967137646,1.0,balanced,liblinear,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__solver': 'liblinear'}",0.8396576283710881,0.8397578456990811,0.8367416820051964,0.8398959081443154,0.8409709712943174,0.8394048071027997,0.001412433406388993,3
10.668559885025024,0.9696458964869397,0.33992924690246584,0.043973568909054524,1.0,balanced,lbfgs,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__solver': 'lbfgs'}",0.8396057953719669,0.8396411828465407,0.8368473383780435,0.8398788477022312,0.8409304068044359,0.8393807142206435,0.0013554469860062345,4
17.643561267852782,1.7038823807140813,0.32027440071105956,0.028451485522654193,0.5,,liblinear,"{'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__solver': 'liblinear'}",0.839933908036215,0.8397801591103213,0.8366723852170626,0.8394424040247203,0.8407534519389942,0.8393164616654627,0.0013905537120289522,5
8.35175895690918,0.7141145370189663,0.3972663402557373,0.033629036446319434,0.5,,lbfgs,"{'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__solver': 'lbfgs'}",0.840013690706163,0.8397290467288643,0.8367279410156443,0.839393487131203,0.8406344353138593,0.8392997201791468,0.0013489536684181784,6
23.776164865493776,1.5226934238910834,0.3214581489562988,0.05242727643483868,1.0,,liblinear,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__solver': 'liblinear'}",0.8397841225074736,0.8396314802444211,0.8366174212588547,0.839512421314179,0.840655850069939,0.8392402590789736,0.0013715749921731763,7
9.67478632926941,0.9803587338483769,0.33483519554138186,0.0396946135221205,1.0,,lbfgs,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__solver': 'lbfgs'}",0.8398288265389897,0.8394969563683505,0.8366280743855861,0.8394557075670395,0.8406089023354567,0.8392036934390845,0.001352681130951082,8
13.313785123825074,2.181957457601922,0.458069372177124,0.13574744953331916,2.0,balanced,lbfgs,"{'classifier__C': 2.0, 'classifier__class_weight': 'balanced', 'classifier__solver': 'lbfgs'}",0.8392834476490312,0.8396166046369276,0.8365799037255837,0.8397046665069556,0.8406996833987896,0.8391768611834575,0.0013817734240129144,9
31.804850244522093,3.100780374715679,0.5115729808807373,0.1369190942180274,2.0,balanced,liblinear,"{'classifier__C': 2.0, 'classifier__class_weight': 'balanced', 'classifier__solver': 'liblinear'}",0.8393723924578509,0.8395227441861853,0.8364803201496174,0.8397807308611045,0.8407119351102003,0.8391736245529918,0.001424798880353895,10
25.60106134414673,1.980691238331884,0.36989669799804686,0.029359301644434833,2.0,,liblinear,"{'classifier__C': 2.0, 'classifier__class_weight': None, 'classifier__solver': 'liblinear'}",0.8394925554533308,0.8393929300612761,0.8363829238098154,0.8394349674217606,0.840402965480417,0.83902126844532,0.0013712286283690872,11
9.856720161437988,1.031850528726382,0.3327942371368408,0.04230986996079606,2.0,,lbfgs,"{'classifier__C': 2.0, 'classifier__class_weight': None, 'classifier__solver': 'lbfgs'}",0.8394363987482253,0.839183204584693,0.8364361122469013,0.839297994973474,0.8402940127610841,0.8389295446628756,0.0013065969887622012,12
13.074411296844483,0.6772048352264424,0.34722352027893066,0.03654530169661505,0.1,balanced,liblinear,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__solver': 'liblinear'}",0.8392402877982237,0.8394204936869261,0.8362474438285588,0.838980202424847,0.840367445812881,0.8388511747102874,0.0013835225913960796,13
6.806302690505982,1.2130324208536858,0.33531713485717773,0.018574525483101262,0.1,balanced,lbfgs,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__solver': 'lbfgs'}",0.8391788036696733,0.8394053864523261,0.8361901382410452,0.8389962850437049,0.8403816022021166,0.8388304431217731,0.0014040457829770738,14
29.32933669090271,3.056903291352982,0.1617095947265625,0.04250229084535978,5.0,balanced,liblinear,"{'classifier__C': 5.0, 'classifier__class_weight': 'balanced', 'classifier__solver': 'liblinear'}",0.8389280287225848,0.8391966389568587,0.836005715634081,0.8394535975274452,0.8403106143448236,0.8387789190371586,0.0014620986509276078,15
17.334082698822023,2.4065662521265487,0.5454068183898926,0.09353962743850137,5.0,balanced,lbfgs,"{'classifier__C': 5.0, 'classifier__class_weight': 'balanced', 'classifier__solver': 'lbfgs'}",0.8389762586333855,0.8393067905140773,0.836012277342575,0.8393771729226338,0.8401811477305441,0.8387707294286433,0.0014349714387536334,16
41.006646394729614,2.710213133806046,0.4388787269592285,0.11112140561621704,5.0,,liblinear,"{'classifier__C': 5.0, 'classifier__class_weight': None, 'classifier__solver': 'liblinear'}",0.8390226870000265,0.8390155065597311,0.8359087567415123,0.8391702861136494,0.8400104731541452,0.8386255419138129,0.0014075154777625665,17
14.047976398468018,3.329633574865624,0.39696335792541504,0.07190113089911752,5.0,,lbfgs,"{'classifier__C': 5.0, 'classifier__class_weight': None, 'classifier__solver': 'lbfgs'}",0.838962283797972,0.8390576112203876,0.835823094280429,0.8390734044176509,0.8398506089113441,0.8385534005255566,0.0014020798687219256,18
11.055034875869751,0.6462663160969337,0.3118199348449707,0.03097556175800677,0.1,,liblinear,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__solver': 'liblinear'}",0.8391358239732819,0.83898503472708,0.8356931209878691,0.8383760105996039,0.8397605485369178,0.8383901077649506,0.0014185961418902884,19
4.427570724487305,0.6145614163575286,0.35502052307128906,0.07616003161738757,0.1,,lbfgs,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__solver': 'lbfgs'}",0.8391088780199155,0.8389765417331821,0.8356507400706554,0.8383572261007781,0.8398349339276272,0.8383856639704318,0.001445902897895366,20
