mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__min_samples_leaf,param_classifier__max_iter,param_classifier__max_depth,param_classifier__max_bins,param_classifier__learning_rate,param_classifier__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.118987989425659,0.5823547578733143,0.2804955005645752,0.06106424848351242,30,400,,255,0.1,0.01,"{'classifier__min_samples_leaf': 30, 'classifier__max_iter': 400, 'classifier__max_depth': None, 'classifier__max_bins': 255, 'classifier__learning_rate': 0.1, 'classifier__l2_regularization': 0.01}",0.8983577149172695,0.8967765896851404,0.8948394993236294,0.8969090107182291,0.8949856396300653,0.8963736908548668,0.0013164859407477528,1
4.808340215682984,0.553022187292383,0.25791277885437014,0.029902670558196006,80,300,12,255,0.15,0.01,"{'classifier__min_samples_leaf': 80, 'classifier__max_iter': 300, 'classifier__max_depth': 12, 'classifier__max_bins': 255, 'classifier__learning_rate': 0.15, 'classifier__l2_regularization': 0.01}",0.8971151384373446,0.896671907101265,0.8937055074349304,0.8978598280111872,0.8960325303529072,0.8962769822675268,0.0014167647363460677,2
6.012734127044678,0.8511628378635158,0.31795363426208495,0.03734851734476682,80,500,,255,0.08,0.001,"{'classifier__min_samples_leaf': 80, 'classifier__max_iter': 500, 'classifier__max_depth': None, 'classifier__max_bins': 255, 'classifier__learning_rate': 0.08, 'classifier__l2_regularization': 0.001}",0.8991695936611999,0.895920302877663,0.8942902585904986,0.8970617441329962,0.8948254665205897,0.8962534731565895,0.0017413487639437073,3
6.065431404113769,0.5727827725650552,0.35588912963867186,0.04426279871276345,30,300,8,255,0.08,0.1,"{'classifier__min_samples_leaf': 30, 'classifier__max_iter': 300, 'classifier__max_depth': 8, 'classifier__max_bins': 255, 'classifier__learning_rate': 0.08, 'classifier__l2_regularization': 0.1}",0.8967023789339162,0.8957538659336132,0.8932338235229789,0.8978013258768308,0.8951505873035465,0.8957283963141771,0.0015364299190099345,4
4.81209168434143,0.5489954574211029,0.23043222427368165,0.03948398684953721,50,300,8,255,0.15,0.1,"{'classifier__min_samples_leaf': 50, 'classifier__max_iter': 300, 'classifier__max_depth': 8, 'classifier__max_bins': 255, 'classifier__learning_rate': 0.15, 'classifier__l2_regularization': 0.1}",0.8975017112095887,0.8959643635005505,0.8928561393017261,0.8970995833186446,0.8952106361327937,0.8957264866926608,0.0016491450967263145,5
3.7779123783111572,0.2273505595165266,0.2057218074798584,0.035959182939054056,20,300,,255,0.15,0.01,"{'classifier__min_samples_leaf': 20, 'classifier__max_iter': 300, 'classifier__max_depth': None, 'classifier__max_bins': 255, 'classifier__learning_rate': 0.15, 'classifier__l2_regularization': 0.01}",0.8960239817440779,0.8956463909562894,0.8930715949300381,0.8978903077904463,0.8946539554302815,0.8954572461702266,0.001588292269152261,6
3.9820106983184815,0.7090011063891777,0.2876884460449219,0.052799294779307955,20,300,8,128,0.15,0.1,"{'classifier__min_samples_leaf': 20, 'classifier__max_iter': 300, 'classifier__max_depth': 8, 'classifier__max_bins': 128, 'classifier__learning_rate': 0.15, 'classifier__l2_regularization': 0.1}",0.8970613108714748,0.8934630995886405,0.8933348481015948,0.8962349302644781,0.8953310555274072,0.8950850488707189,0.001482044546992941,7
4.11113018989563,0.2911592851324281,0.24268436431884766,0.03594835573585729,80,200,8,255,0.15,0.1,"{'classifier__min_samples_leaf': 80, 'classifier__max_iter': 200, 'classifier__max_depth': 8, 'classifier__max_bins': 255, 'classifier__learning_rate': 0.15, 'classifier__l2_regularization': 0.1}",0.8962040846873998,0.8940053901171816,0.8932959796283397,0.8974280547261927,0.894434093836012,0.895073520599025,0.0015186459316038714,8
5.242254590988159,0.8880344454377829,0.33353562355041505,0.05794646703906824,50,400,,128,0.08,0.001,"{'classifier__min_samples_leaf': 50, 'classifier__max_iter': 400, 'classifier__max_depth': None, 'classifier__max_bins': 128, 'classifier__learning_rate': 0.08, 'classifier__l2_regularization': 0.001}",0.8968052342372865,0.8935292291274896,0.8922165914471861,0.8984686130323765,0.8942998140493927,0.8950638963787462,0.002265856296435819,9
4.381681060791015,0.2133565734593549,0.2634443283081055,0.006952464237460287,50,200,12,255,0.08,0.0,"{'classifier__min_samples_leaf': 50, 'classifier__max_iter': 200, 'classifier__max_depth': 12, 'classifier__max_bins': 255, 'classifier__learning_rate': 0.08, 'classifier__l2_regularization': 0.0}",0.8970478507629643,0.8947914939114499,0.8924234782561706,0.8967855734019731,0.8942482590536865,0.8950593310772488,0.001709468793123875,10
