mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
101.10060558319091,4.864821965892465,0.7178394317626953,0.07440573956733362,400,2,1,0.5,8,,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 0.5, 'classifier__max_depth': 8, 'classifier__class_weight': None}",0.8761041535475647,0.871352799584183,0.8727346473390472,0.8738125816514559,0.8747272932481873,0.8737462950740877,0.0016296318424036712,15
33.27839999198913,1.2504307125115122,0.7868876934051514,0.38848110550211556,200,5,2,sqrt,18,balanced_subsample,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 18, 'classifier__class_weight': 'balanced_subsample'}",0.8737478367315088,0.8674829411783478,0.8683415835023724,0.8706338584672929,0.8710177658824069,0.8702447971523858,0.0022031888832406746,16
26.205220222473145,0.6100350558344887,0.5311761379241944,0.1055406017909493,200,5,8,sqrt,24,balanced_subsample,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 24, 'classifier__class_weight': 'balanced_subsample'}",0.870616752981221,0.8641515385856272,0.8644917004680428,0.8682786039669259,0.8682010047690302,0.8671479201541695,0.002467956231288659,17
55.87362575531006,4.574722580245479,1.5418505191802978,0.7345166976501827,500,5,2,log2,,balanced,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.859560380502598,0.8527002161544156,0.8537299452959369,0.8537954337199252,0.8567260801743243,0.8553024111694401,0.002516830750387391,18
23.900732612609865,1.06463902038387,0.6415898323059082,0.18060991617400335,300,5,4,sqrt,12,balanced_subsample,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 12, 'classifier__class_weight': 'balanced_subsample'}",0.849029325432893,0.8465106251471475,0.8454144979791225,0.846365817049789,0.8517518209942598,0.8478144173206423,0.002303782933889952,19
33.81767168045044,0.4961904890931195,1.1535559177398682,0.17374951194660426,500,5,2,log2,24,balanced,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 24, 'classifier__class_weight': 'balanced'}",0.8489145413335482,0.8431193340792754,0.842013525868442,0.8440750602840884,0.846142853668107,0.8448530630466922,0.0024426723701485727,20
12.204370975494385,0.25991859816098184,0.38634843826293946,0.07122476250661146,200,20,2,log2,24,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 24, 'classifier__class_weight': None}",0.8454078613622207,0.8436228141993387,0.8416530693485098,0.8444113800096393,0.8441514357860394,0.8438493121411497,0.0012418581546986866,21
20.5102276802063,0.6338273498018245,0.9068685054779053,0.11291029077907348,400,10,4,log2,,,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': None, 'classifier__class_weight': None}",0.8418511113314142,0.8348073953696609,0.8329717746179222,0.8368146584965248,0.838315451454331,0.8369520782539706,0.0030437042391295356,22
17.064629459381102,0.7761157277378931,0.6784399032592774,0.16753675479512872,400,20,1,sqrt,8,balanced,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 8, 'classifier__class_weight': 'balanced'}",0.8274491169293782,0.8240010643522897,0.8288528100709617,0.8281837731264843,0.8293167238563341,0.8275606976670897,0.001888112553134173,23
24.403136205673217,0.7503627999374762,0.9934329986572266,0.20610856773488476,500,2,4,log2,18,balanced_subsample,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 18, 'classifier__class_weight': 'balanced_subsample'}",0.8322797002312875,0.8228743142936882,0.825853298725253,0.8228217250705898,0.8296130685608086,0.8266884213763255,0.003741981918411652,24
20.937873792648315,0.40222455144425123,1.3515785694122315,0.19820932766107544,400,5,4,log2,18,balanced_subsample,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 18, 'classifier__class_weight': 'balanced_subsample'}",0.8317173096171884,0.822016843614334,0.8258327515714006,0.8235758583679668,0.8279906433988823,0.8262266813139544,0.0034106696642015972,25
15.398006105422974,1.2134928796346136,0.682075309753418,0.12460864083063161,400,10,1,log2,12,,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': 12, 'classifier__class_weight': None}",0.8239425527716036,0.8195794701792455,0.8220371891905245,0.8263245323238767,0.8250153564649593,0.8233798201860418,0.0023625534754371596,26
12.57239089012146,0.43399538733329246,0.4711133003234863,0.20564374674274027,300,10,8,log2,24,balanced,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'log2', 'classifier__max_depth': 24, 'classifier__class_weight': 'balanced'}",0.8244582833919557,0.818292292613185,0.818654576997532,0.8195778479809109,0.8239929434260496,0.8209951888819267,0.002674790584507204,27
11.100407648086549,0.34154497842833537,0.49318633079528806,0.15367276887805353,200,5,8,log2,24,balanced_subsample,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'log2', 'classifier__max_depth': 24, 'classifier__class_weight': 'balanced_subsample'}",0.8251013960526006,0.8152807413179212,0.8181240950310369,0.8207006206346947,0.8248559555221693,0.8208125617116846,0.0038101064099842047,28
13.420804643630982,0.5417322494970973,0.7413323879241943,0.27812722679513385,400,5,4,log2,12,balanced,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 12, 'classifier__class_weight': 'balanced'}",0.8174945431227391,0.8107450321905059,0.8140524777139934,0.8125542080751215,0.8168059247835004,0.814330437177172,0.002538778664177354,29
20.348042154312132,0.644937692720992,0.7986901283264161,0.12767503263483942,500,5,4,log2,12,balanced_subsample,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 12, 'classifier__class_weight': 'balanced_subsample'}",0.8180161158934387,0.8111356327007649,0.8145785080115887,0.8124140448352536,0.8146649382144392,0.814161847931097,0.0023449896060978967,30
